modeldb_id,icg_id,ion_class,suffix,gbar_name,gbar_default,q10_tau,q10_g,gate_var,gate_power,best_sm,sm1_fit,sm1_err1_ss,sm1_err1_tau,sm2_fit,sm2_err1_ss,sm2_err1_tau,sm3_fit,sm3_err1_ss,sm3_err1_tau,sm4_fit,sm4_err1_ss,sm4_err1_tau,sm5_fit,sm5_err1_ss,sm5_err1_tau,a,b,c,d,vh,A,b1,c1,d1,e1,b2,c2,d2,e2
101629,4,Ca,cal,gcalbar_cal,0.003,4.991752614188705,0.9783563523794391,m,2,5,True,0.0008648902137019671,0.007602698499519505,True,0.0007646325444533082,0.007602698499519505,True,0.0008648902137020247,0.014818102227177894,True,0.0008648902137019624,0.01604439762426817,True,0.0008648902137019541,0.004848244226437689,0.18011669198514893,-0.2395538870922501,1.0,0.0,-0.87948883977629,231.17997389539536,-0.050310099720116,-0.000496227276947794,3.4399733880671262e-06,3.216525964944048e-08,-0.004004315417841961,0.00014108267845614077,1.9172834153376743e-06,4.038108122255602e-09
101629,5,Ca,can,gcanbar_can,0.0003,4.997571733228869,0.9783563409859826,m,2,5,True,0.007262983776228479,0.0030347297834418872,True,0.005284738926002674,0.0030347297834418872,True,0.007262983776229118,0.004060326531481022,True,0.0072629837762284485,0.004135199826242193,True,0.007262983776228431,0.0014545889598721006,0.12520953443553562,-2.69238389068523,1.0,0.0,-26.272390112463842,883.1308013025463,-0.05204603730821454,2.1987334854818144e-05,-4.81472770773515e-06,4.164313961736887e-08,-0.02430024064869452,-0.0002704743128219767,-1.6858801546153794e-06,-2.652192327045466e-09
101629,5,Ca,can,gcanbar_can,0.0003,4.997571733228869,0.9783563409859826,h,2,1,True,0.00018316225812313978,0.47282056050067617,True,7.849651154000831e-05,0.47282056050067617,True,0.0001831622581231257,0.5054329013906016,True,0.00018316225812313062,0.6511577596651597,True,0.0001831622581231248,0.47282056050067617,-0.12059717489079275,4.837183378038341,1.0,0.0,56.50935699212255,160.01663536788476,6.523685705733529e-07,-2.2588148467353408e-08,-3.386401279410443e-11,,-2.0973792392220613e-06,-1.498785027509292e-08,9.00422463687204e-11,
101629,6,Ca,cat,gcatbar_cat,0.003,4.996759598520021,0.9783540782304654,m,2,1,True,0.005143055005005035,0.00012098903802592589,True,0.003426076932028126,0.00012098903802592589,True,0.005143055005006818,0.00012410631040394579,True,0.005143055005004707,0.00012452331737575995,True,0.0051430550050047315,0.00012098903802592589,0.12717896461510855,-4.524502190315963,1.0,0.0,-28.466026697294335,514.1276484339775,0.008135152700742075,6.999261061014166e-06,3.091670833130546e-08,,0.06728004374114609,1.3186469834161885e-05,-9.249704696848816e-08,
101629,6,Ca,cat,gcatbar_cat,0.003,4.996759598520021,0.9783540782304654,h,1,5,True,1.302286132504839e-05,0.13041844291923307,True,9.270936211246683e-06,0.13041844291923307,True,1.3022861325059893e-05,0.2616517677052828,True,1.3022861325052502e-05,0.47889401818082455,True,1.3022861325063857e-05,0.06350630591060015,-0.16149109762209146,10.835794800969358,1.0,0.0,-69.83595691606239,67.22616277629257,-0.10062905112942444,0.001781176261474372,-1.2700950768758574e-05,3.1350258357756636e-08,-0.08642476317151151,-0.003576972272320243,-0.00019216505491739718,-3.292488326812422e-06
102288,15,Ca,cal,gcalbar_cal,0.003,,0.9783563523795507,m,2,5,True,0.0008431140930275379,0.0063339395009144,True,0.0007456979049756804,0.0063339395009144,True,0.0008431140930275744,0.006808685122941364,True,0.0008431140930275815,0.010514797143706072,True,0.0008431140930275603,0.005372707062738255,0.18014904772276194,-0.23951942813528646,1.0,0.0,-0.39271037126622127,3.0467671210911034,-0.09495461276255004,0.00043603714401240905,-8.158572135185627e-06,9.749057836003866e-08,-0.08359743972905374,0.00035414072338968926,8.183831952069784e-06,5.926143952108661e-08
102288,16,Ca,cat,gbar_cat,0.003,1.0,0.9783542180936096,m,2,5,True,0.005162109038763025,0.001693953169120361,True,0.003447032035054155,0.001693953169120361,True,0.005162109038763316,0.0028505836872337108,True,0.00516210903876282,0.01952981438785156,True,0.005162109038762855,0.0010415062867991456,0.12701027644146853,-4.517765068130953,1.0,0.0,-35.891757347335634,22.101921359288916,0.04497975765125998,-4.187818278571494e-05,-9.00650836929229e-07,-6.0964904067449776e-09,0.07984331067744388,-1.4047439849752764e-05,-4.566863455881346e-06,1.954538274619031e-08
102288,16,Ca,cat,gbar_cat,0.003,1.0,0.9783542180936096,h,1,5,True,0.0004561526191359402,0.0008180301175307911,True,0.0004371317314835056,0.0008180301175307911,True,0.0004561526191359378,0.0009473972478382449,True,0.00045615261913595673,0.0010169490349685648,True,0.0004561526191359882,0.000750047158750863,-0.16108560737654962,10.811830172368001,1.0,0.0,-54.01953564996234,3945.781968330795,-0.09242758675846713,-0.00019272844105374873,1.4655964302759584e-06,9.589231050981103e-09,-0.0692848506489341,-0.0002928534865117656,-5.506158210769569e-06,-4.168820211695182e-08
105385,37,Ca,cal_gp,gbar_cal_gp,0.003,,0.9784133155472381,m,2,5,True,8.123718013471844e-07,0.028250001977487425,True,8.063714185185935e-07,0.028250001977487425,True,8.123718013459865e-07,0.034981105162354316,True,8.123718013166742e-07,0.03514581061020559,True,8.123718013825855e-07,0.02401120730796189,0.08333337452142787,-3.3333358964032587,1.0,0.0,-1.8439902574503058,0.5425781094040101,0.07814269942048484,-0.0010708104338372267,-3.525015511158274e-05,-2.248190628138222e-07,0.0744419340278004,0.000767433249574408,-3.3393552563902515e-05,3.807456797095575e-07
105385,38,Ca,cap_gp,gbar_cap_gp,1.0,0.3303303919285263,,m,1,5,True,0.0024986832555356528,0.13880200769746404,True,0.0021717229215626552,0.13880200769746404,True,0.0024986832555360457,0.17982544784156876,True,0.002498683255535659,0.24006923429844976,True,0.002498683255535769,0.10672169625225114,0.18647003978484622,-3.643856752423232,1.0,0.0,-51.48893864033036,0.6808969400701195,0.9855096688833572,0.14278967054319616,0.007580413360106403,0.00013074451317824685,-0.017273085299237382,0.0011816061189916032,-1.4056261584343944e-06,-3.201747927508245e-08
108458,73,Ca,ca,gbar_ca,0.1,2.292264212839498,2.299999999995948,m,2,1,True,0.021212284251062384,0.019735298683243283,True,0.01672724296388608,0.019735298683243283,True,0.02121228425095026,0.0656079975082122,True,0.021212284250993897,0.10755036957743319,True,0.021212284250944118,0.019735298683243283,0.21846889946987202,-7.217366255164325,1.0,0.0,-34.888572808305106,52.812867078898954,0.07725869891408747,0.0006632034718038386,7.19558338006365e-06,,0.15374044128349978,-0.0023486494352931535,1.258034748583204e-05,
108458,73,Ca,ca,gbar_ca,0.1,2.292264212839498,2.299999999995948,h,1,5,True,0.04537722710782316,0.0014270078615331622,True,0.01577701884618755,0.0014270078615331622,True,0.04537722710786923,0.023694743189027555,True,0.04537722710781563,0.18646534658385933,True,0.04537722710784292,0.0001169619405015337,-0.04624131012002163,2.6822840660187293,1.0,0.0,-60.78099358114267,3574.0580529477047,-0.037361705836008355,0.0003079532099480526,-1.15723132717173e-06,1.661638070740265e-09,-0.030308886886863003,-0.0002982366815589424,-3.0957156061231064e-06,-9.227700140857862e-09
108458,74,Ca,it,gbar_it,0.0008,1.0,1.0,m,2,5,True,0.00010809432842763971,0.02061571134676489,True,0.00010536454604986247,0.02061571134676489,True,0.00010809432842762838,0.10679381658078585,True,0.00010809432842764016,0.38564144945486667,True,0.00010809432842766985,0.0029357411480755826,0.13503753417926637,-6.751880482062046,1.0,0.0,-71.86319282394234,14.028849288501204,0.07091527796771038,0.0012016712867838487,8.774648505357775e-06,4.5557631613054086e-08,0.04621012925507217,-0.0005321341093347132,2.748789437514941e-06,-5.318868369617068e-09
108458,74,Ca,it,gbar_it,0.0008,1.0,1.0,h,1,5,True,0.00042291587810441145,0.15333096563288137,True,0.00027178185334076005,0.15333096563288137,True,0.00042291587810443395,0.30651613603292444,True,0.00042291587810436694,0.40880840330871354,True,0.0004229158781044403,0.08246237614373164,-0.19952070234220085,15.563934614608696,1.0,0.0,-80.40169758325439,1359.477848796175,-0.1624932084258756,0.00299580708660775,-2.1564196747225014e-05,5.268737376561213e-08,-0.09892475054553394,-0.02235197806542692,-0.0030510295349020933,-0.00010427743111753659
108459,80,Ca,ca,gbar_ca,0.1,2.2915632777353223,2.299999999995947,m,2,1,True,0.021212284251022437,0.019821685811389426,True,0.016727242963886377,0.019821685811389426,True,0.02121228425093942,0.06577822783402645,True,0.021212284250957412,0.1077999955998481,True,0.021212284251307938,0.019821685811389426,0.2184689102788226,-7.217366654635599,1.0,0.0,-34.91825012764019,52.844150165004784,0.07758737190178162,0.0006741122515833349,7.307791833925476e-06,,0.15374603416244723,-0.0023490854538108542,1.258564516925779e-05,
108459,80,Ca,ca,gbar_ca,0.1,2.2915632777353223,2.299999999995947,h,1,5,True,0.04537722335815747,0.0014241619590011764,True,0.015776715233701305,0.0014241619590011764,True,0.04537722335818473,0.023691641800846742,True,0.045377223358191325,0.18647397319456746,True,0.045377223358161196,0.00011948800347129811,-0.046241320452341673,2.6822844852064733,1.0,0.0,-60.781940165542785,3574.0577154909483,0.03030791926494409,0.0002981016279651792,3.0921855389833422e-06,9.19525056545097e-09,0.037361158862315426,-0.0003079357718056758,1.157069415880525e-06,-1.6611751075649974e-09
108459,84,Ca,it2,gcabar_it2,0.0008,1.0,1.0,m,2,5,True,0.00010809432842764515,0.02061571134676489,True,0.00010536454605248162,0.02061571134676489,True,0.00010809432842764281,0.10679381658078585,True,0.00010809432842763958,0.38564144945486667,True,0.00010809432842759527,0.0029357411480755826,0.1350375341804344,-6.7518804821216705,1.0,0.0,-71.86319282394234,14.028849288501204,0.07091527796771038,0.0012016712867838487,8.774648505357775e-06,4.5557631613054086e-08,0.04621012925507217,-0.0005321341093347132,2.748789437514941e-06,-5.318868369617068e-09
108459,84,Ca,it2,gcabar_it2,0.0008,1.0,1.0,h,1,5,True,0.0004229158781044011,0.15333096563288137,True,0.0002717818532830739,0.15333096563288137,True,0.0004229158781043712,0.30651613603292444,True,0.00042291587810441893,0.40880840330871354,True,0.0004229158781044972,0.08246237614373164,-0.19952070234176958,15.563934614576512,1.0,0.0,-80.40169758325439,1359.477848796175,-0.1624932084258756,0.00299580708660775,-2.1564196747225014e-05,5.268737376561213e-08,-0.09892475054553394,-0.02235197806542692,-0.0030510295349020933,-0.00010427743111753659
110560,91,Ca,Calcium,gbar_Calcium,150.0,1.0,1.0,n,1,1,True,3.7772270279569112e-06,2505.61677607958,True,3.174165416428898e-06,2505.61677607958,True,3.777227027937682e-06,2505.61677607958,True,3.777227027980604e-06,6240110.075596308,True,3.7772270279506267e-06,2505.61677607958,0.08849998976274982,-1.531194528529711,1.0,0.0,-323.73096541672095,6.019999999444677,-8.616737662356524e-07,3.657012233940986e-12,0.0,,-8.61675529988385e-07,2.9200519176496684e-12,0.0,
112546,109,Ca,cal,gcalbar_cal,0.003,4.981374827829883,0.9783563523794098,m,2,1,True,0.0008415499082951518,0.007752541210477357,True,0.0007440467861016361,0.007752541210477357,True,0.0008415499082951644,0.020504345891409342,True,0.0008415499082951673,0.031359699729355386,True,0.0008415499082951351,0.007752541210477357,0.18015194347568955,-0.2396710361542158,1.0,0.0,-92.66604210740337,95.57198635127304,0.001425826559556906,-0.0003853030896800235,1.5625450174174668e-06,,-0.05774539860942818,-0.0004400623697352961,4.094205483738531e-06,
112546,110,Ca,can,gcanbar_can,0.0003,4.995691520848206,0.9783563405634204,m,2,5,True,0.007204959183140345,0.0032798163765677263,True,0.005245119237918969,0.0032798163765677263,True,0.007204959183127569,0.004547638922305546,True,0.007204959183127545,0.004904190791872593,True,0.007204959183127577,0.001202345056977674,0.1251851037113912,-2.6910563828826684,1.0,0.0,-60.72070722808868,357.4522345847794,0.03276133506829231,0.00029452758026203053,8.310995126164172e-06,4.2990012851634924e-08,0.05500086345919653,-0.00054676097002498,5.134550450138051e-06,-1.7261116644340605e-08
112546,110,Ca,can,gcanbar_can,0.0003,4.995691520848206,0.9783563405634204,h,2,1,True,0.00018158520430146838,0.4328498144242487,True,7.715424166737174e-05,0.4328498144242487,True,0.0001815852043014695,0.4484544265107214,True,0.00018158520430148947,0.7702482643625599,True,0.0001815852043014722,0.4328498144242487,-0.12059845119752491,4.837241556753287,1.0,0.0,130.25880200522056,159.96489289553384,-0.00017404325890808754,4.128571252854365e-06,1.7603008503832897e-11,,-0.00013597676525640715,4.782729571703261e-06,6.552937035574887e-09,
112546,111,Ca,cat,gcatbar_cat,0.003,4.985069345146592,0.9773301787081924,m,2,5,True,0.0003845188259680662,3.171463782443899e-05,True,0.00035358971971702265,3.171463782443899e-05,True,0.00038451882596813995,3.3464856051296564e-05,True,0.00038451882596809593,3.890993242010544e-05,True,0.0003845188259681208,3.171459617363347e-05,0.10005764344717948,-6.003850552553543,1.0,0.0,-28.05464104460416,506.7905053199699,-0.029414645478762325,-8.056900737191308e-07,3.320188843942614e-09,5.968919225557986e-15,-0.046201775301684074,-1.330089982019056e-06,-6.697862524737038e-09,5.829622614580072e-15
112546,111,Ca,cat,gcatbar_cat,0.003,4.985069345146592,0.9773301787081924,h,1,5,True,1.9434487337888583e-06,0.1302797698642891,True,1.9417920432827737e-06,0.1302797698642891,True,1.943448733834934e-06,0.2615048786393762,True,1.943448733824434e-06,0.47877801564218153,True,1.943448733782103e-06,0.06347700715133055,-0.09999988891296457,8.49999369710233,1.0,0.0,-69.84028556108154,67.2285570680513,0.08642712890818123,0.0035750252034632882,0.00019208677859138175,3.2918979208840464e-06,0.10060168866709054,-0.001780039962251605,1.2688993609386374e-05,-3.1313391778699636e-08
112685,122,Ca,Golgi_Ca_HVA,gcabar_Golgi_Ca_HVA,0.00046,2.9707821031507162,0.9999999603781363,s,2,1,True,0.00454766040534334,0.01941399299022793,True,0.0027435308957090582,0.01941399299022793,True,0.004547660405343357,0.029576988101329256,True,0.004547660405343363,0.07281570045233557,True,0.004547660405343304,0.01941399299022793,0.10198943525620358,-2.040442219625518,1.0,0.0,-14.621743107161691,46.66860369263247,0.023352036225990955,-0.0002623385308583755,-1.4340861495131927e-06,,0.07531218543986228,-0.0001458356272090022,-3.7263060742599913e-06,
112685,122,Ca,Golgi_Ca_HVA,gcabar_Golgi_Ca_HVA,0.00046,2.9707821031507162,0.9999999603781363,u,1,5,True,0.004593061022427833,0.03278632040258858,True,0.0032529991354493934,0.03278632040258858,True,0.004593061022427841,0.04547482559793453,True,0.004593061022427833,0.15673835670151595,True,0.004593061022427833,0.013007934761482896,-0.06694748233661134,3.216946266212931,1.0,0.0,-10.515747817477449,4080.2764762462716,0.046321193483801926,0.0014345345606547372,2.6629125784515428e-05,1.3630250425904933e-07,0.05965108520105332,-0.0011583149953214595,9.652684876806968e-06,-2.928336029030056e-08
